host_original	host_clean	species	genus	family	order	class	phylum	kingdom
Homo sapiens 1 year old male	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens 62 year old female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens 1 year 6 month old female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens 2 year old male	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens 6 year old male	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens 1 year 6 month old male	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens 9 month old male	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens 10 month female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens 10 year old female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens 1 year 6 month old male child	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Pygoscelis adeliae	Pygoscelis adeliae	Pygoscelis adeliae	Pygoscelis	Spheniscidae	Sphenisciformes	Aves	Chordata	Metazoa
Hystrix brachyurus	Hystrix brachyurus	Hystrix brachyura	Hystrix	Hystricidae	Rodentia	Mammalia	Chordata	Metazoa
Episoriculus leucops	Episoriculus leucops	Episoriculus leucops	Episoriculus	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
Volemys millicens	Volemys millicens	Volemys millicens	Volemys	Cricetidae	Rodentia	Mammalia	Chordata	Metazoa
Tylonycteris robustula	Tylonycteris robustula	Tylonycteris robustula	Tylonycteris	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Homo sapiens 62 year old lady	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens 6 year old boy	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens 5 month old girl	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens 9 month old boy	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens 10 year old girl	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens one and half year old boy	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens 1 year old boy	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Pipistrellus pygmaeus	Pipistrellus pygmaeus	Pipistrellus pygmaeus	Pipistrellus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Hipposideros cineraceus	Hipposideros cineraceus	Hipposideros cineraceus	Hipposideros	Hipposideridae	Chiroptera	Mammalia	Chordata	Metazoa
Homo sapiens 34 month-old girl	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
